failed_login_attempts,password_age_days,phishing_click_rate,risk_score
0,355.7871567441477,0.21114106977553876,28.757611942164154
1,88.13950110361432,0.2459410473558165,21.5414991039685
3,263.92094693058135,0.34892919053096727,33.54437783594273
1,209.47470215372002,0.20094559087992772,25.958161100544164
2,254.35756807655147,0.1378277084392226,23.72814646905407
1,235.04465051235107,0.07298551745332268,23.40784873887575
4,257.96323301312003,0.27237943769438505,33.52881568671008
3,330.5246726789425,0.20245967210140411,28.895338481693756
5,205.6663660628057,0.4082559108772978,36.85010841934972
1,24.76480575995825,0.0673607393982167,8.911940382759136
4,98.85128357311834,0.16928780889229084,26.577715248431215
2,258.4999278491988,0.39904007744068126,23.918597621899394
1,180.3372392111208,0.23241135857893294,15.99537018025722
3,200.2214736561857,0.19901470523344453,26.361881702718446
2,217.75186621380638,0.12066049904018258,18.546672018519804
2,139.65968463936804,0.42268093627073394,26.64815210056264
3,282.47186665706715,0.25674460401797583,29.08474987757742
1,264.0902326222402,0.2911948399747083,24.30044767437773
2,260.71928545048655,0.35020999634591754,24.856431411147696
1,261.0882135227548,0.2800762096166453,26.159373715039923
4,324.98067060380043,0.37928358932708783,34.57614666787371
2,217.31836449679517,0.17989498774068235,24.44738907300372
1,352.9813528163898,0.39927619720087726,24.155470257104792
4,43.505329802582835,0.045357147819968475,21.332981177703
4,230.6650264567605,0.3338126749609827,35.24906282808719
3,261.67818926656537,0.07487486843251723,27.25390635205653
5,174.18544999834123,0.19147449396516328,27.900007065409813
4,105.19606105678182,0.49845701072231974,31.433300885302135
3,200.76367023955115,0.10255229289017562,20.754087511738344
0,133.1329033061065,0.396919122189361,18.631801755126705
4,331.830285939753,0.14167817262811794,25.55632289449407
1,130.22923057463802,0.10106173479983588,16.761822557663976
2,64.13305233627712,0.18684955816677704,22.105916962776394
0,210.3820361603903,0.231254865676431,16.47757944533319
2,144.53729585383482,0.21721565007941393,22.180455720760857
1,35.00282285230697,0.0817593060664613,14.214627008514528
2,206.16745811423655,0.288824130806526,28.354012104016437
0,196.313940075481,0.14800210654761123,15.051545422048582
